"contrast","state","gene","mean_response","rms_response","direction"
"T1D-control","alpha","MSMB",0.0361603368981666,0.0365314801339746,"up"
"T1D-control","beta_major","THBS4",0.0364376423875412,0.0364376423976744,"up"
"T1D-control","duct_major","MMP12",0.0360826067952897,0.036082606914998,"up"
"T1D-control","acinar","FGB",0.0359859316268239,0.0359859316999232,"up"
"T1D-control","duct_major","ARC",-0.00731708960073311,0.0359081391458622,"down"
"T1D-control","acinar","IL1B",-0.0308624102723375,0.0356812286390205,"down"
"T1D-control","acinar","C7",0.00566608900991558,0.0351555014951766,"up"
"T1D-control","acinar","IGFBP5",-0.0100675185164273,0.0350282607206765,"down"
"T1D-control","alpha","SAA1",0.0311494118135612,0.0348314001467403,"up"
"T1D-control","acinar","C1QA",-0.00867376396868309,0.0348027477172496,"down"
"T1D-control","alpha","CCL7",-0.0045742990601992,0.0346930191049453,"down"
"T1D-control","duct_major","MMP3",-0.0116318411229411,0.0346733094303046,"down"
"T1D-control","alpha","HOXB2",-0.00470722441456111,0.0345636270778605,"down"
"T1D-control","duct_major","MMP9",0.0286118475961955,0.0344153192239745,"up"
"T1D-control","alpha","IGFBP5",0.0300090008806637,0.0343973824940026,"up"
"T1D-control","alpha","SOCS3",0.0299521193175386,0.0341285357399095,"up"
"T1D-control","alpha","CGA",-0.0284484398874637,0.0340660739847645,"down"
"T1D-control","beta_major","CXCL14",0.0337569539820489,0.0337569541044381,"up"
"T1D-control","duct_major","CGA",-0.00878129625967085,0.0334170879325707,"down"
"T1D-control","alpha","CCL5",0.0329481532767193,0.0330735424953515,"up"
"T1D-control","alpha","CCL11",0.0324561941009448,0.0324561941131446,"up"
"T1D-control","beta_major","CLDN5",0.0320653189416115,0.0324179028698327,"up"
"T1D-control","alpha","MMP9",-0.0309654903747502,0.0317247213507663,"down"
"T1D-control","alpha","LUM",0.00941333833175489,0.0316993587521072,"up"
"T1D-control","alpha","IL6",0.0228613581510004,0.0315049647976529,"up"
"T1D-control","alpha","AGR2",0.0277667623496943,0.0311667130854802,"up"
"T1D-control","alpha","S100A8",-0.0305380789511399,0.0305381005133532,"down"
"T1D-control","acinar","GEM",0.0300827316776259,0.030387609295301,"up"
"T1D-control","duct_major","PDGFRB",0.00302684908300666,0.0303867779786303,"up"
"T1D-control","acinar","RGCC",0.0274161887316557,0.0300925792723746,"up"
"T1D-control","acinar","TYROBP",0.0121105153844558,0.0300584345228483,"up"
"T1D-control","beta_major","TOP2A",0.0295099468851793,0.0295099470634588,"up"
"T1D-control","beta_major","MKI67",0.0289740565329555,0.0289740566968684,"up"
"T1D-control","duct_major","HSPA6",-0.00872135705252398,0.0287820563887149,"down"
"T1D-control","duct_major","DUSP2",0.0192844479349387,0.0284964761730854,"up"
"T1D-control","beta_major","UBE2C",0.0281501491811965,0.0281501493760473,"up"
"T1D-control","beta_major","PAEP",0.0278926928776835,0.0278926928983752,"up"
"T1D-control","acinar","MSMB",0.0268580126227621,0.0278076285570967,"up"
"T1D-control","acinar","S100A8",0.0275281463097126,0.0275282417573572,"up"
"T1D-control","alpha","IL17C",-0.0258464858405247,0.0272862284665691,"down"
"T1D-control","alpha","TYROBP",-0.0191326090013913,0.0272784312783718,"down"
"T1D-control","beta_major","CCL19",0.0247601655302284,0.0264236852448976,"up"
"T1D-control","beta_major","CSF3",0.0260145081858535,0.0260145082207611,"up"
"T1D-control","beta_major","FGB",0.0256997313788259,0.0256997315357664,"up"
"T1D-control","acinar","IL6",0.00852417749927455,0.0255063030004386,"up"
"T1D-control","beta_major","IL17C",0.0156749742442587,0.0247161585328991,"up"
"T1D-control","alpha","SCGB3A1",-0.0239539988244031,0.0239539988667792,"down"
"T1D-control","alpha","C7",-0.0132995637065816,0.023589968467672,"down"
"T1D-control","acinar","C1QC",0.00795244524638901,0.0229649161587315,"up"
"T1D-control","acinar","HSPA6",0.0178142846197613,0.0226802006003641,"up"
"T1D-control","duct_major","SRGN",0.0221597088097801,0.0224119827833304,"up"
"T1D-control","duct_major","MSMB",0.00654827678412722,0.0222828690766752,"up"
"T1D-control","acinar","ANKRD1",-0.00764376588717741,0.0221477772255695,"down"
"T1D-control","acinar","SLC2A2",0.0195430803515401,0.0217124136728634,"up"
"T1D-control","duct_major","CYP3A4",-0.00986922542728097,0.0213477763380374,"down"
"T1D-control","acinar","ESM1",-0.00102713161575795,0.021166019866112,"down"
"T1D-control","beta_major","FABP3",0.0211627413209368,0.0211627413520594,"up"
"T1D-control","alpha","MUC1",0.0204325736268846,0.0211459504761747,"up"
"T1D-control","acinar","IL1A",0.0184762462342928,0.0207617073066343,"up"
"T1D-control","alpha","FGF19",0.0141563207187743,0.0206095115941225,"up"
"T1D-control","acinar","CCL5",0.0194609815474663,0.0205468713712842,"up"
"T1D-control","duct_major","S100A8",-0.0205324362694348,0.0205327062153152,"down"
"T1D-control","acinar","PCSK1",-0.00826037814601429,0.0204595809308082,"down"
"T1D-control","acinar","CCL11",0.0202977109643103,0.0202977110251096,"up"
"T1D-control","acinar","UCN",0.0167952416119944,0.0196235938033646,"up"
"T1D-control","alpha","NDUFA4L2",0.0177801656711468,0.0193182928786805,"up"
"T1D-control","alpha","RGCC",-0.0145836767631574,0.0188962674620882,"down"
"T1D-control","alpha","TFF1",0.0129603977537685,0.0186912422171177,"up"
"T1D-control","duct_major","PYY",-0.0185535420496221,0.0186724776431097,"down"
"T1D-control","alpha","MMP12",-0.0186543185280149,0.0186543185508095,"down"
"T1D-control","beta_major","MMP3",0.013529101142824,0.0186450125341406,"up"
"T1D-control","alpha","LST1",-0.018605875332816,0.0186252733813221,"down"
"T1D-control","alpha","SOX18",-0.018605875332816,0.0186252733813221,"down"
"T1D-control","alpha","IL1B",-0.0114805297197844,0.0178180039926591,"down"
"T1D-control","beta_major","TPSAB1",0.0174341830553965,0.0174341831482556,"up"
"T1D-control","alpha","OASL",-0.0133649714470145,0.0173290319962541,"down"
"T1D-control","alpha","CRLF1",-0.0170473475680318,0.0170473476393374,"down"
"T1D-control","acinar","LST1",0.0169437651909801,0.0170325192795526,"up"
"T1D-control","acinar","SOX18",0.0169437651909801,0.0170325192795526,"up"
"T1D-control","acinar","PI15",0.0166682486805388,0.0166682486941117,"up"
"T1D-control","alpha","SLC2A2",-0.0144297984039503,0.0166610665798671,"down"
"T1D-control","alpha","CYP1B1",-0.0140978918295585,0.016468702495395,"down"
"T1D-control","alpha","CCL19",-0.0153113342637932,0.0163592245500736,"down"
"T1D-control","beta_major","IL33",0.015877353491422,0.0158773536049392,"up"
"T1D-control","beta_major","ORM2",0.0157269301812856,0.0157269302004573,"up"
"T1D-control","beta_major","ISLR",4.29166166530477e-05,0.0155428952112733,"up"
"T1D-control","acinar","CGA",-0.012402964267886,0.0147326605570945,"down"
"T1D-control","alpha","PI15",-0.0142063642784713,0.0142063642938079,"down"
"T1D-control","alpha","FBLN1",0.00230360477808759,0.0141711181447233,"up"
"T1D-control","acinar","MMP9",0.00475948198251612,0.0141135878475496,"up"
"T1D-control","alpha","ORM1",-0.00695814497287046,0.0137448789913387,"down"
"T1D-control","alpha","PTGDS",-0.0132930128540443,0.0132930129194431,"down"
"T1D-control","alpha","CCL3L3",-0.0128466316133643,0.0128466316367788,"down"
"T1D-control","acinar","CCL19",0.0101545646062681,0.0127148626507902,"up"
"T1D-control","duct_major","LST1",-0.0124427325172105,0.0126625609544975,"down"
"T1D-control","duct_major","SOX18",-0.0124427325172105,0.0126625609544975,"down"
"T1D-control","alpha","MMP10",0.00313461267419722,0.0122694939933063,"up"
"T1D-control","alpha","IL1A",-0.0102720591497947,0.0122022876564443,"down"
"T1D-control","acinar","ARC",-0.00347582482779779,0.0120771524603669,"down"
"T1D-control","acinar","DUSP2",-0.00171489427979575,0.0116838577647186,"down"
"T1D-control","duct_major","FGB",0.0115647046422415,0.0115647051588511,"up"
"T1D-control","acinar","MMP12",0.0115328342593407,0.0115328344968572,"up"
"T1D-control","alpha","CCL8",-0.0114938980603274,0.0114938980956604,"down"
"T1D-control","alpha","CCL4",-0.0113764176347299,0.0113764177271484,"down"
"T1D-control","alpha","UCN",-1.2193048440329e-05,0.0099501222344099,"down"
"T1D-control","alpha","CSF2",-0.00716580663738449,0.00961154872317104,"down"
"T1D-control","duct_major","PI15",-0.00954277192026625,0.00954277215304234,"down"
"T1D-control","duct_major","AGXT",-0.00948765111851716,0.00948765183141227,"down"
"T1D-control","alpha","DPT",-0.00591114618420629,0.0094516103990774,"down"
"T1D-control","acinar","SCGB3A1",0.00928781465230949,0.00928781472741457,"up"
"T1D-control","alpha","CYP3A4",-0.00855616586810267,0.00915090397488228,"down"
"T1D-control","acinar","CCL8",0.00879814123888291,0.00879814128405069,"up"
"T1D-control","acinar","CALCB",-0.00863595722855182,0.00863595730444129,"down"
"T1D-control","duct_major","PTGDS",-0.00827977843727412,0.00827977987873071,"down"
"T1D-control","alpha","PTGS2",-0.00821431387049897,0.00821431388467869,"down"
"T1D-control","duct_major","CCL3L3",-0.00817492178516851,0.00817492193475021,"down"
"T1D-control","acinar","COMP",0.00803308743098473,0.00803308763725079,"up"
"T1D-control","alpha","COMP",-0.00779196454630491,0.00779196461442276,"down"
"T1D-control","alpha","CXCL14",-0.00736380758072102,0.00736380765768367,"down"
